Author,Papers
Peter Wittenburg,"[From Persistent Identifiers to Digital Objects to Make Data Science More Efficient.,FAIR Practices in Europe.,State of FAIRness in ESFRI Projects.,FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,FAIR Principles - Interpretations and Implementation Considerations.,Editors' Note.,Open Science and Data Science.,Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story).,Not Ready for Convergence in Data Infrastructures.]"
Luiz Olavo Bonino da Silva Santos,"[The Need of Industry to Go FAIR.,Making FAIR Easy with FAIR Tools - From Creolization to Convergence.,GO FAIR Brazil - A Challenge for Brazilian Data Science.,The ""A"" of FAIR - As Open as Possible, as Closed as Necessary.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.,Distributed Analytics on Sensitive Medical Data - The Personal Health Train.,DAMS - A Distributed Analytics Metadata Schema.]"
Barend Mons,"[FAIR Science for Social Machines - Let's Share Metadata Knowlets in the Internet of FAIR Data and Services.,A Journal for Human and Machine.,Towards the Tipping Point for FAIR Implementation.,The FAIR Principles - First Generation Implementation Choices and Challenges.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.,Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story) - ""EOSC is a bigger ME"" and the Dunning Kruger effect.]"
Carole A. Goble,"[Unique, Persistent, Resolvable - Identifiers as the Foundation of FAIR.,FAIR Principles - Interpretations and Implementation Considerations.,FAIR Data Reuse - the Path through Data Citation.,FAIR Computational Workflows.,Exploring the Current Practices, Costs and Benefits of FAIR Implementation in Pharmaceutical Research and Development - A Qualitative Interview Study.]"
George O. Strawn,"[FAIR Principles - Interpretations and Implementation Considerations.,Editors' Note.,Open Science and the Hype Cycle.,Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story).,Not Ready for Convergence in Data Infrastructures.]"
Annika Jacobsen,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,The FAIR Principles - First Generation Implementation Choices and Challenges.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.]"
Christine R. Kirkpatrick,"[The Need of Industry to Go FAIR.,FAIR Practices in Africa.,Towards the Tipping Point for FAIR Implementation.,FAIR Principles - Interpretations and Implementation Considerations.]"
Robert Pergl,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,Data Management Planning - How Requirements and Solutions are Beginning to Converge.,FAIR Principles - Interpretations and Implementation Considerations.]"
Mark Thompson 0002,"[Making FAIR Easy with FAIR Tools - From Creolization to Convergence.,The ""A"" of FAIR - As Open as Possible, as Closed as Necessary.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.]"
Marco Roos,"[Making FAIR Easy with FAIR Tools - From Creolization to Convergence.,The ""A"" of FAIR - As Open as Possible, as Closed as Necessary.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.]"
Erik Schultes,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,The FAIR Principles - First Generation Implementation Choices and Challenges.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.]"
Nick S. Juty,"[Unique, Persistent, Resolvable - Identifiers as the Foundation of FAIR.,FAIR Principles - Interpretations and Implementation Considerations.,Exploring the Current Practices, Costs and Benefits of FAIR Implementation in Pharmaceutical Research and Development - A Qualitative Interview Study.]"
Keith G. Jeffery,"[State of FAIRness in ESFRI Projects.,FAIR Principles - Interpretations and Implementation Considerations.,Not Ready for Convergence in Data Infrastructures.]"
Larry Lannom,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,FAIR Data and Services in Biodiversity Science and Geoscience.,Not Ready for Convergence in Data Infrastructures.]"
Oya Beyan,"[Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,Distributed Analytics on Sensitive Medical Data - The Personal Health Train.,DAMS - A Distributed Analytics Metadata Schema.]"
Michel Dumontier,"[FAIR Principles - Interpretations and Implementation Considerations.,Distributed Analytics on Sensitive Medical Data - The Personal Health Train.,Considerations for the Conduction and Interpretation of FAIRness Evaluations.]"
Simon J. Coles,"[Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,FAIR Principles - Interpretations and Implementation Considerations.,Taking FAIR on the ChIN - The Chemistry Implementation Network.]"
Rajaram Kaliyaperumal,"[Making FAIR Easy with FAIR Tools - From Creolization to Convergence.,A Generic Workflow for the Data FAIRification Process.,FAIR Principles - Interpretations and Implementation Considerations.]"
Ignasi Labastida,"[The ""A"" of FAIR - As Open as Possible, as Closed as Necessary.,Licensing FAIR Data for Reuse.,FAIR Principles - Interpretations and Implementation Considerations.]"
Peter McQuilton,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,FAIR Principles - Interpretations and Implementation Considerations.]"
Mirjam van Reisen,"[FAIR Practices in Africa.,Towards the Tipping Point for FAIR Implementation.,FAIR Principles - Interpretations and Implementation Considerations.]"
Susanna-Assunta Sansone,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,FAIR Principles - Interpretations and Implementation Considerations.]"
Dimitris Koureas,"[FAIR Data and Services in Biodiversity Science and Geoscience.,Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story).]"
Stefan Decker,"[Distributed Analytics on Sensitive Medical Data - The Personal Health Train.,DAMS - A Distributed Analytics Metadata Schema.]"
Ricardo de Miranda Azevedo,"[FAIR Principles - Interpretations and Implementation Considerations.,Considerations for the Conduction and Interpretation of FAIRness Evaluations.]"
Annalisa Montesanti,"[FAIR Principles - Interpretations and Implementation Considerations.,The FAIR Funding Model - Providing a Framework for Research Funders to Drive the Transition toward FAIR Data Management and Stewardship Practices.]"
Egon L. Willighagen,"[FAIR Principles - Interpretations and Implementation Considerations.,Taking FAIR on the ChIN - The Chemistry Implementation Network.]"
Stian Soiland-Reyes,"[Unique, Persistent, Resolvable - Identifiers as the Foundation of FAIR.,FAIR Computational Workflows.]"
Tim Clark,"[Unique, Persistent, Resolvable - Identifiers as the Foundation of FAIR.,FAIR Data Reuse - the Path through Data Citation.]"
Giancarlo Guizzardi,"[FAIR Principles - Interpretations and Implementation Considerations.,Ontology, Ontologies and the ""I"" of FAIR.]"
Dominique Batista,"[Helping the Consumers and Producers of Standards, Repositories and Policies to Enable FAIR Data.,FAIR Principles - Interpretations and Implementation Considerations.]"
Rob W. W. Hooft,"[Data Management Planning - How Requirements and Solutions are Beginning to Converge.,FAIR Principles - Interpretations and Implementation Considerations.]"
Melanie Imming,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,FAIR Principles - Interpretations and Implementation Considerations.]"
Martijn G. Kersloot,"[The Need of Industry to Go FAIR.,FAIR Principles - Interpretations and Implementation Considerations.]"
Tobias Kuhn,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,FAIR Principles - Interpretations and Implementation Considerations.]"
Barbara Magagna,"[FAIR Convergence Matrix - Optimizing the Reuse of Existing FAIR-Related Resources.,FAIR Principles - Interpretations and Implementation Considerations.]"
