author,title,volumeEdition,year,journalConference
Kun Wang 0005,Robust Big Data Analytics for Electricity Price Forecasting in the Smart Grid.,"IEEE Trans. Big Data,vol.5-1",2019,IEEE Trans. Big Data
Hongjian Wang 0002,Non-Stationary Model for Crime Rate Inference Using Modern Urban Data.,"IEEE Trans. Big Data,vol.5-2",2019,IEEE Trans. Big Data
Binfeng Wang,Noise-Resistant Statistical Traffic Classification.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Zheng Xu 0001,Multi-Modal Description of Public Safety Events Using Surveillance and Social Media.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Zheng Yan 0002,Heterogeneous Data Storage Management with Deduplication in Cloud Computing.,"IEEE Trans. Big Data,vol.5-3",2019,IEEE Trans. Big Data
Qiang Yang 0001,State of the Journal.,"IEEE Trans. Big Data,vol.5-1",2019,IEEE Trans. Big Data
Weiren Yu,Ring - Real-Time Emerging Anomaly Monitoring System Over Text Streams.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Shengkang Yu,A Bilinear Ranking SVM for Knowledge Based Relation Prediction and Classification.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Mingyang Zhang 0004,Understanding Urban Dynamics From Massive Mobile Traffic Data.,"IEEE Trans. Big Data,vol.5-2",2019,IEEE Trans. Big Data
Zhao Zhang 0001,Kernel-Induced Label Propagation by Mapping for Semi-Supervised Classification.,"IEEE Trans. Big Data,vol.5-2",2019,IEEE Trans. Big Data
Peng Zhang 0006,QuantCloud - Enabling Big Data Complex Event Processing for Quantitative Finance Through a Data-Driven Execution.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Zhiyong Zhang 0002,A Situational Analytic Method for User Behavior Pattern in Multimedia Social Networks.,"IEEE Trans. Big Data,vol.5-4",2019,IEEE Trans. Big Data
Daniel Zhang 0001,On Scalable and Robust Truth Discovery in Big Data Social Media Sensing Applications.,"IEEE Trans. Big Data,vol.5-2",2019,IEEE Trans. Big Data
Stefanos Antaris,In-Memory Stream Indexing of Massive and Fast Incoming Multimedia Content.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Jinjun Chen,Guest Editorial - Big Data Infrastructure I.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Jinjun Chen,Guest Editorial - Big Data Infrastructure II.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Zhenhua Chen,GPU-Accelerated High-Throughput Online Stream Data Processing.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Ming Cheung,Characterizing User Connections in Social Media through User-Shared Images.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Lei Chu,Massive Streaming PMU Data Modelling and Analytics in Smart Grid State Evaluation based on Multiple High-Dimensional Covariance Test.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Yang Cong,Online Similarity Learning for Big Data with Overfitting.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Yong Cui 0001,SDN-Based Big Data Caching in ISP Networks.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Wenyun Dai,Cloud Infrastructure Resource Allocation for Big Data Applications.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Dapeng Dong,Content-Aware Partial Compression for Textual Big Data Analysis in Hadoop.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Hua Fang 0001,An Enhanced Visualization Method to Aid Behavioral Trajectory Pattern Recognition Infrastructure for Big Longitudinal Data.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Paolo Di Francesco,Assembling and Using a Cellular Dataset for Mobile Network Analysis and Planning.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Chunqiang Hu,A Secure and Verifiable Access Control Scheme for Big Data Storage in Clouds.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
